"pubid","member","year"
"23657156","Lampe, Johanna","2013"
"23388096","Lampe, Johanna","2013"
"24319537","Madeleine, Margaret","2013"
"23885038","Madeleine, Margaret","2013"
"23824834","Madeleine, Margaret","2013"
"23634849","Madeleine, Margaret","2013"
"23171871","Madeleine, Margaret","2013"
"23847207","Malik, Harmit","2013"
"23519206","Malik, Harmit","2013"
"23341368","Menon, Manoj","2013"
"24384592","Mugo, Nelly","2013"
"24139639","Mugo, Nelly","2013"
"23842133","Mugo, Nelly","2013"
"23695519","Mugo, Nelly","2013"
"23315322","Mugo, Nelly","2013"
"23187945","Mugo, Nelly","2013"
"23175769","Mugo, Nelly","2013"
"23079806","Mugo, Nelly","2013"
"24009513","Overbaugh, Julie","2013"
"23856624","Overbaugh, Julie","2013"
"23774880","Overbaugh, Julie","2013"
"23269813","Overbaugh, Julie","2013"
"24418542","Polyak, Stephen","2013"
"24257594","Polyak, Stephen","2013"
"23770038","Polyak, Stephen","2013"
"23322900","Polyak, Stephen","2013"
"23213025","Polyak, Stephen","2013"
"23011959","Polyak, Stephen","2013"
"24309984","Ramsey, Scott","2013"
"24296857","Ramsey, Scott","2013"
"24295942","Ramsey, Scott","2013"
"24226096","Ramsey, Scott","2013"
"29431037","Ramsey, Scott","2013"
"24166217","Ramsey, Scott","2013"
"24118980","Ramsey, Scott","2013"
"23943885","Ramsey, Scott","2013"
"23873718","Ramsey, Scott","2013"
"23676531","Ramsey, Scott","2013"
"23650020","Ramsey, Scott","2013"
"23635833","Ramsey, Scott","2013"
"23633970","Ramsey, Scott","2013"
"23276520","Ramsey, Scott","2013"
"23000081","Ramsey, Scott","2013"
"23847207","Roman, Ann","2013"
"23731972","Roman, Ann","2013"
"24314650","Rose, Timothy","2013"
"24241692","Savan, Ram","2013"
"24351902","Schwartz, Stephen","2013"
"23824834","Schwartz, Stephen","2013"
"23562170","Schwartz, Stephen","2013"
"23319825","Schwartz, Stephen","2013"
"23171871","Schwartz, Stephen","2013"
"24323672","Scott, John","2013"
"24239028","Scott, John","2013"
"24192038","Scott, John","2013"
"24096404","Scott, John","2013"
"23787043","Scott, John","2013"
"23775427","Scott, John","2013"
"23625929","Scott, John","2013"
"23527168","Scott, John","2013"
"23149943","Scott, John","2013"
"23043438","Scott, John","2013"
"22532055","Scott, John","2013"
"24095897","Smith, Jason","2013"
"23968810","Smith, Jason","2013"
"23487468","Smith, Jason","2013"
"24689544","Thompson, Beti","2013"
"28845136","Thompson, Beti","2013"
"23826775","Thompson, Beti","2013"
"25621179","Thompson, Beti","2013"
"23515116","Thompson, Beti","2013"
"23275187","Thompson, Beti","2013"
"22943104","Thompson, Beti","2013"
"22878911","Thompson, Beti","2013"
"24016811","Wald, Anna","2013"
"23606943","Wald, Anna","2013"
"24384634","Wasserheit, Judith","2013"
"24029738","Wasserheit, Judith","2013"
"23165274","Wasserheit, Judith","2013"
"24136492","Winer, Rachel","2013"
"22729840","Winer, Rachel","2013"
"24136492","Xi, Long Fu","2013"
"22729840","Xi, Long Fu","2013"
"24491354","Yeh, Matthew","2013"
"24377043","Yeh, Matthew","2013"
"24360972","Yeh, Matthew","2013"
"24269922","Yeh, Matthew","2013"
"24070712","Yeh, Matthew","2013"
"23929039","Yeh, Matthew","2013"
"23807780","Yeh, Matthew","2013"
"23574780","Yeh, Matthew","2013"
"23376645","Yeh, Matthew","2013"
"23302015","Yeh, Matthew","2013"
"25082084","Adair, Jennifer","2014"
"25062639","Adair, Jennifer","2014"
"24914132","Adair, Jennifer","2014"
"24642749","Adair, Jennifer","2014"
"26052523","Adair, Jennifer","2014"
"25085899","Bansal, Aasthaa","2014"
"24732240","Bansal, Aasthaa","2014"
"24603861","Bansal, Aasthaa","2014"
"29509463","Bansal, Aasthaa","2014"
"25843391","Bedford, Trevor","2014"
"25323575","Bedford, Trevor","2014"
"25278604","Bedford, Trevor","2014"
"25116957","Bedford, Trevor","2014"
"25449857","Bielas, Jason","2014"
"24894130","Bielas, Jason","2014"
"25303117","Biggins, Sue","2014"
"25236177","Biggins, Sue","2014"
"25213378","Biggins, Sue","2014"
"25128498","Biggins, Sue","2014"
"24630115","Biggins, Sue","2014"
"24439659","Biggins, Sue","2014"
"24402315","Biggins, Sue","2014"
"25331901","Bloom, Jesse","2014"
"25321142","Bloom, Jesse","2014"
"25063439","Bloom, Jesse","2014"
"25006036","Bloom, Jesse","2014"
"24859245","Bloom, Jesse","2014"
"24811236","Bloom, Jesse","2014"
"24699865","Bloom, Jesse","2014"
"25389263","Bradley, Philip","2014"
"25267526","Bradley, Philip","2014"
"25385641","Bradley, Robert","2014"
"25267526","Bradley, Robert","2014"
"25546029","Brown, Elizabeth","2014"
"24845658","Brown, Elizabeth","2014"
"24888739","Chen, Ying","2014"
"24602844","Chen, Ying","2014"
"25587029","Clurman, Bruce","2014"
"25314076","Clurman, Bruce","2014"
"24866825","Clurman, Bruce","2014"
"25333822","Dai, James","2014"
"25011450","Dai, James","2014"
"25644336","Di, Chongzhi","2014"
